id,name,years,genre,nationality,painting
0,Amedeo Modigliani,1884 - 1920,Expressionism,Italian,193
1,Vasiliy Kandinskiy,1866 - 1944,Abstractionism,Russian,88
2,Diego Rivera,1886 - 1957,Social Realism,Mexican,70
3,Claude Monet,1840 - 1926,Impressionism,French,73
4,Rene Magritte,1898 - 1967,Impressionism,Belgian,194
5,Salvador Dali,1904 - 1989,Surrealism,Spanish,139
6,Edouard Manet,1832 - 1883,Realism,French,90
7,Andrei Rublev,1360 - 1430,Byzantine Art,Russian,99
8,Vincent van Gogh,1853 - 1890,Post-Impressionism,Dutch,877
9,Gustav Klimt,1862 - 1918,Symbolism Art Nouveau,Austrian,117
10,Hieronymus Bosch,1450 - 1516,Northern Renaissance,Dutch,137
11,Kazimir Malevich,1879 - 1935,Suprematism,Russian,126
12,Mikhail Vrubel,1856 - 1910,Symbolism,Russian,171
13,Pablo Picasso,1881 - 1973,Cubism,Spanish,439
14,Peter Paul Rubens,1577 - 1640,Baroque,Flemish,141
15,Pierre-Auguste Renoir,1841 - 1919,Impressionism,French,336
16,Francisco Goya,1746 - 1828,Romanticism,Spanish,291
17,Frida Kahlo,1907 - 1954,Primitivism,Mexican,120
18,El Greco,1541 - 1614,Mannerism,Spanish,87
19,Albrecht Dürer,1471 - 1528,Northern Renaissance,German,328
20,Alfred Sisley,1839 - 1899,Impressionism,French,259
21,Pieter Bruegel,1525 - 1569,Northern Renaissance,Flemish,134
22,Marc Chagall,1887 - 1985,Primitivism,French,239
23,Giotto di Bondone,1266 - 1337,Proto Renaissance,Italian,119
24,Sandro Botticelli,1445 - 1510,Early Renaissance,Italian,164
25,Caravaggio,1571 - 1610,Baroque,Italian,55
26,Leonardo da Vinci,1452 - 1519,High Renaissance,Italian,143
27,Diego Velazquez,1599 - 1660,Baroque,Spanish,128
28,Henri Matisse,1869 - 1954,Impressionism,French,186
29,Jan van Eyck,1395 - 1441,Northern Renaissance,Flemish,81
30,Edgar Degas,1834 - 1917,Impressionism,French,702
31,Rembrandt,1606 - 1669,Baroque,Dutch,262
32,Titian,1488 - 1576,High Renaissance,Italian,255
33,Henri de Toulouse-Lautrec,1864 - 1901,Post-Impressionism,French,81
34,Gustave Courbet,1819 - 1877,Realism,French,59
35,Camille Pissarro,1830 - 1903,Impressionism,French,91
36,William Turner,1775 - 1851,Romanticism,British,66
37,Edvard Munch,1863 - 1944,Symbolism,Norwegian,67
38,Paul Cezanne,1839 - 1906,Post-Impressionism,French,47
39,Eugene Delacroix,1798 - 1863,Romanticism,French,31
40,Henri Rousseau,1844 - 1910,Primitivism,French,70
41,Georges Seurat,1859 - 1891,Post-Impressionism,French,43
42,Paul Klee,1879 - 1940,Expressionism,German,188
43,Piet Mondrian,1872 - 1944,Neoplasticism,Dutch,84
44,Joan Miro,1893 - 1983,Surrealism,Spanish,102
45,Andy Warhol,1928 - 1987,Pop Art,American,181
46,Paul Gauguin,1848 - 1903,Symbolism,French,311
47,Raphael,1483 - 1520,High Renaissance,Italian,109
48,Michelangelo,1475 - 1564,High Renaissance,Italian,49
49,Jackson Pollock,1912 - 1956,Abstract Expressionism,American,24
